,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
binancecoin_price_sma14_ratio,0.12612928571940174,0.0034736974150654664,0.0316325511678319,0.13543784509670126,-0.08859893529232782,0.03882253992222472,-0.07588895382008065,0.1035569494964004,0.13293915785757499,0.02091364989681977,-0.17148112021043188,-0.08525380421645093,-0.008877476830123705,0.014208260531736497,0.05736008693668646,0.07358569066556714,0.04975760211789437,0.024160451558170874,-0.0778794155249157,-0.00888196074393688,-0.030786582957263057,-0.025476050544715637,0.00947131518772458,-0.05431364126482231,-0.04276257342260547
matic-network_reverse_bb_momentum,0.08094445374904084,0.06265363430397305,0.1611582600309963,0.08629651732368643,0.14297659993190506,0.014249439209948481,0.061873554879895556,-0.11833072741082863,-0.029600793420090202,-0.03533314003051439,0.036041008352247175,0.011473306329670637,-0.0034849187348030635,0.07349035512075752,0.025924168223272998,0.091468069348339,0.08572803368986759,-0.057507174189218996,-0.02534335839913288,-0.06035943512349036,0.06005687522621222,0.027077263571718264,-0.09649393403881296,-0.10884144368198523,-0.04531778131630691
solana_bb_regime_type,0.049141755449256454,0.021704433893492425,0.024207915068063152,-0.018138191809506585,-0.16309064508183035,0.08871993705112957,0.0589408146766037,-0.20588105571746035,-0.07246392289214215,0.10201856275294605,-0.00517054069719305,0.051828000698989116,0.03999639455109676,0.29826243727319623,-0.12872800019599984,-0.10461781792656509,-0.17129342663954147,-0.020398732652288597,-0.2391788341027313,0.154918225269223,-0.14790402990825682,0.01676079031998319,0.1312735580619511,-0.1264318802773921,0.07161394340050221
shiba-inu_btc_ratio_momentum,0.08840112752367106,0.04610441016882451,-0.02797771779260813,0.06524708169088965,-0.10750956611241042,-0.03521584516246567,0.0014660201525883482,-0.14948147336976117,-0.0010886397831355286,0.2816183707657821,-0.05839825493904122,0.008416249419703929,-0.020952697968982276,0.04745346239283996,-0.11674089884330241,-0.12240635086246333,-0.0785610425488412,0.18881088461061818,0.19166534099796498,-0.08652375391201671,-0.15792493695449275,-0.21057263232104853,0.02555003840963097,-0.0942563252711066,-0.0032919420801920383
ripple_price_sma14_ratio,0.13606728157949707,0.08986880565271133,-0.07782249886849749,-0.03475500478755729,0.040780291259084125,-0.09183828779471323,-0.05862460692314116,-0.048765939409687646,-0.07772995338739366,-0.1440343162596639,-0.023275449071262076,-0.03468676514912947,0.020569154856796903,-0.031058241299732496,0.058561070638869415,-0.06193606165235176,0.023018717691194124,0.08309062856032018,-0.092490325953915,-0.0523760930454202,0.0018916272466625976,0.0034374223619972927,0.0058843626300028335,0.013806846700148744,-0.047318732093511666
high_vol_regime,0.04163741177866596,0.1868018183220213,-0.1167032165353206,-0.04649750659419715,0.06180104829123123,0.06305709639225629,-0.014363625972622387,0.09252727494617381,0.0917797668903559,-0.020664771544975574,-0.18363784297921065,-0.06199849611175123,0.1555654464710257,0.06737380069255226,-0.18742625217266373,0.09500989184600302,0.10161858380470049,-0.019024551519709863,-0.031096439093953133,0.02677838667125174,0.0026016098547875875,-8.042646331332185e-05,0.026528257129771495,0.02197201131760365,0.07395172546160628
tether_vol_7d,0.0405961929887636,0.09370343502427773,-0.10776654411645703,-0.11843538800699897,0.20773683151296454,-0.06769955208514672,-0.06135102270388433,0.06188658763663049,0.013506369606238485,0.202095161539729,-0.09803443193319433,0.025726063548899364,-0.020609053355638677,0.07653932897399277,0.02233705389300283,0.00972929384928711,0.057387022412326245,0.09861311802444689,0.052047200336500336,0.061919181046701806,-0.024003299047359566,-0.07125843076845258,-0.0217341220191112,0.0012325347550163443,-0.017452870727775977
tether_momentum_10,0.04669484643433629,0.01178175620502285,0.08908910334603107,-0.10445319495483806,-0.08471757717674493,-0.19457857630675002,0.1815651004151259,0.03530120712484603,0.035396178260357535,0.052687830868768375,-0.05943295479222369,-0.013945606026675869,-0.14257527038727508,-0.10797795584766894,-0.0586330589718749,0.20045473826566454,0.01951109558687788,0.09478762926668746,-0.04189027883583883,0.10965228898606108,-0.16212994326541572,-0.15014268644074452,-0.017116448359864322,0.22574054780539085,-0.04597740809585703
binancecoin_price_sma7_ratio,0.10415217886989257,0.02643114622671594,0.10543127928337881,0.14835351236515226,-0.039729095051726664,0.07446683124601976,-0.08932409364909477,0.1891764385406857,0.04716013094996715,-0.04516464961108004,-0.076484781469704,-0.04679782403188767,-0.07640976219847033,0.10383648057070291,-0.01951898583063279,0.09812491845024982,-0.006710516374291568,-0.027902583251516275,-0.01674583531686687,0.02085001037496321,-0.059157999842585234,-0.11689405695015676,0.006395920722130696,-0.03250652075993313,-0.11235521653373291
bitcoin_rsi_14,0.14704075404025937,-0.09369992679729443,-0.02164963764200555,-0.10046855679878289,0.04107792293894361,0.06183096099974602,0.01995659643340048,0.02554154629475794,0.070986410460272,-0.04584872208019884,0.01367810223972264,0.01273579859218085,-0.022278982116729164,0.002867547543665655,-0.06172369708776134,-0.02998354031740863,-0.024149237035435492,-0.056975888819919975,-0.05511295925769959,-0.05818365875410186,0.022137291069804634,0.0031436408195661225,0.07346330088174331,0.004160401148275576,-0.038019637679801044
ethereum_sortino_30d,0.10734712656173709,-0.07388061928427718,-0.10990455178604375,0.04226528667265366,-0.0012968305932358282,0.16619205801957307,0.19721331018529384,0.06414896431674272,-0.03450837530939199,-0.023868900290563835,0.014011415338583516,-0.03881369214309949,0.01220039310317827,0.047952149928520045,0.04463168737821255,0.022354864451205037,-0.06907475415909073,0.13239696681823768,0.004186122299279115,-0.004706935427764035,0.042998842446263195,0.011479875327490861,0.006143995385896233,0.05558044875515642,0.05155676449317906
ripple_momentum_5,0.11454996523747099,0.06350277701197908,0.0052928155134445536,0.054224325171890464,-0.020575522761510538,-0.06464463180127918,-0.13609324617605573,0.06972900930133637,-0.0876448220931055,-0.18077018069615403,0.08334184566016775,0.023569691676508086,0.055887346185998034,-0.03200680930222625,0.13917288921509438,-0.1503490161131216,-0.0026854694974723426,0.25095712250347957,-0.0012131132273579778,-0.0560118007458224,-0.05081818273232169,-0.03338208276145292,-0.049652287935473174,0.006207052361297342,-0.10849401018667645
solana_btc_ratio_momentum,0.07424428374161376,-0.06891850249751946,0.02518021531877299,-0.08873079680498613,-0.05990154692269027,-0.042942171920891066,-0.07697538661113187,-0.17003475497771042,0.14672923748223404,-0.05256733681242551,0.10514947656402379,0.13647408371079547,-0.08943245912404951,0.07616408168298676,0.1920357027549507,0.10115268851377775,-0.10052027105348275,-0.03293595594664841,0.38238973011513594,-0.004124314638305438,0.07851163626273346,0.021690874613117212,-0.13859352977213532,-0.015238675047958446,0.01059833286309528
matic-network_btc_ratio_momentum,0.10525771718073101,0.07726245593023738,-0.10455877966623413,0.12728009428337608,-0.06787255260634585,-0.05593499035227623,0.06041204135460662,-0.14285135302513335,-0.02099705148495904,0.01916345494511651,0.09645394438732742,0.07775738271144597,0.07022828788406098,-0.04963714471720022,-0.12274719051774102,0.03899467427026796,-0.02590083607365078,-0.08978708243505386,0.04962861180555895,-0.06326430238109702,-0.017697712616582387,-0.018930075810179563,-0.051634101493232505,0.029815965751389093,-0.14291660280114096
crypto_vix_14d,0.023293084151426585,0.22845038681445778,-0.08389877064030717,-0.0745955695718687,0.04495095198970363,0.09714320497485811,0.04349490847118586,0.11788891094791037,-0.02398906179157504,-0.07096404528672648,-0.09929555816139084,0.009604001892261889,-0.12466429197709293,-0.0692528155076074,0.09222295580508422,0.03624515127202661,-0.18514273785683044,0.0010365913284082475,0.0844180684432147,-0.05755409845225388,0.10019473315220918,-0.02202868316636538,0.10306823965925388,-0.040741560110710694,0.06774930099288033
ethereum_price_sma7_ratio,0.13104054592038947,-0.042294621543478204,0.09086086886408143,0.04757310340387801,-0.04459174504522383,0.10067071673979011,-0.0418787141526546,0.11166094596081155,0.027558375188434934,0.05126438925294084,0.056970911048641326,-0.040440540630061486,0.09500993778631284,-0.11323236299617724,0.030136073073602353,0.059343673935267405,0.0703082346879502,-0.0660499772802248,0.08684922660200835,0.07449062703057056,0.04378168946118413,-0.031122343169618896,0.01166313605887625,-0.06638017988211548,-0.0810241185441941
matic-network_momentum_5,0.12329141290221447,0.04260503260612057,0.03314200152723011,0.08947356956275727,-0.1111675754725345,-0.027634860838134927,-0.08641776827692152,0.06406897601525771,-0.12428801165195445,-0.05869075543527999,0.15661030690119684,0.03785976943557231,0.018620294601210667,0.09052426749919483,-0.15272421032546543,0.10835289646703676,-0.0062109371557514306,-0.09340299003406602,0.022336908056808904,0.08431016865777331,0.0642245177812051,0.05479325564825291,-0.06404470570859691,0.0539922045913851,0.06988591737985256
cardano_bb_regime_type,0.0039425752068524165,-0.012550601881109893,-0.02890422543030493,-0.07520941327754611,0.00512232823480401,0.008077864756252417,0.053412091290451526,-0.10392421814113599,-0.0061089865702963425,0.023733465631226424,0.025664259699914885,0.2684061044658488,0.2905609314760464,-0.07596286460659277,-0.0370430786400763,-0.1325654396208315,0.11232344234698328,0.20662477823644892,-0.08995090231165416,0.3341553160692152,0.5049152604939717,-0.1041254779039468,0.24296372352746118,-0.060545359377607536,0.12196497614613502
